question,A,B,C,D,E,answer
医疗机构发现甲类传染病时采取下列措施，哪项是错误的____,对病人、病原携带者予以隔离治疗,对疑似病人应在指定场所统一集中治疗,对医疗机构内的病人、病原携带者、疑似病人的密切接触者，应指定场所进行医学观察和采取其他必要的预防措施,拒绝隔离治疗时，可以由公安机关协助医疗机构采取强制隔离治疗措施,对疑似病人，确诊前在指定场所单独隔离治疗,B
下列各项，不属于弦脉的主病是____,肝郁,胃热,诸痛,痰饮,疟疾,B
下列关于腮腺的描述不正确的是____,腮腺位于耳屏、下颌角与颧弓所构成的三角区内,腮腺导管开口于相当上颌第2磨牙牙冠相对的颊黏膜上,腮腺肿大时可出现以耳垂为中心的隆起,正常的腮腺体软薄，触诊轮廓清晰,流行性腮腺炎时腮腺一侧或双侧肿大，有轻压痛,D
久病耳渐聋属于____,湿热时邪，蒙闭清窍,肝胆火盛，上扰清窍,风邪上袭，经气闭阻,营血不足，清气不升,精气虚衰，不能上充清窍,E
寒证的临床表现中，不正确的是____,手足逆冷,大便稀薄,面色苍白,舌淡苔白,口渴喜饮,E
肝细胞性黄疸时，不正确的是____,血清总胆红素增高,血清结合胆红素增高,血清非结合胆红素增高,尿内尿胆原增高,尿胆红素阴性,E
下列各项，不属于会诊的道德要求的是____,分析病情，做出正确的诊疗决策是会诊的目的,经治医生客观陈述患者的状况,尊重科学，具有严谨的科学精神,实事求是，学术面前人人平等,严守法规，秉公执法,E
伤寒肠穿孔多发生于____,病程的第1周，在小肠,病程的第2周，在十二指肠,病程的第3周，在回肠,病程的第4周，在结肠,恢复期，部位不定,C
下列AIDS患者抗病毒治疗的指征，正确的是____,CD4+细胞数<0.35×109/L,CD4+细胞数<0.50×109/L,HIV-RNA水平>1000拷贝/ ml,HIV-RNA水平>3000拷贝/ ml,CD4+细胞数下降速率>每年0.05×109/L,A
《中医药条例》中明确国家发展中医药的方针是____,全面发展中医药,优先发展中医药,保持中医药特色,中西医并重,西医为主，中医为辅,D
可出现颈静脉怒张，肝-颈静脉反流征阳性的是____,肝硬化,心包积液,肾病综合征,纵隔肿瘤,急性左心衰竭,B
口干而但欲漱水而不欲咽属于____,血瘀证,湿热证,血分证,气分证,阴虚证,E
中寒证的表现不包括的是____,寒滞胃肠,寒滞肝脉,寒邪束表,寒滞心经,寒邪客肺,C
患者女，42岁。行经前期经血量多，色暗，后期淋漓不尽20余日，色淡质稀，伴少腹冷痛，喜温喜按，形寒畏冷，大便溏薄，舌淡苔白，脉沉细而迟。治疗除主穴气海、足三里、三阴交外，还应加取____,命门、腰阳关,百会、脾俞,肾俞、命门,然谷、太溪,隐白、血海,A
患者女，28岁。每至经期第3、4天出现腹痛，痛势绵绵，按则痛减，月经色淡，量少，伴面色苍白，全身乏困无力，头晕眼花，舌淡，边有齿痕，脉细弱。治疗除气海、三阴交、足三里外，还宜加取____,归来、地机,太冲、阳陵泉,脾俞、胃俞,肝俞、肾俞,百会、悬钟,C
患者女，22岁。经期提前半年余，每次提前10天左右，月经量多，色深红，质黏稠，伴面红口干，心胸烦热，小便短赤，大便干燥，舌红，苔黄，脉数。治疗除主穴外，还应加用____,太溪、肾俞,足三里、三阴交,太冲、行间,脾俞、足三里,气海、关元,C
患者因情志不舒出现胸胁胀痛，胸闷短气，大便不畅，苔薄白，脉弦。针灸治疗应当在主穴的基础上配用____,膈俞、太冲,内关、太冲,行间、侠溪,肝俞、三阴交,肝俞、膈俞,B
患儿女，8岁。无明显诱因突然出现意识丧失，跌仆在地，四肢抽搐，口吐白沫，持续3~5分钟后自行恢复，意识转清，但感头晕乏力。为明确诊断，以下最有价值的辅助检查是____,头颅CT,肌电图,脑电图,脑脊液检查,头部MRI,C
患者刘某，女，32岁。恶心、食欲不振1周，乏力，肝区胀痛不适，小便色如红茶，大便可，有肝炎接触史。巩膜、皮肤轻度黄染，肝区触痛、叩击痛。最佳取穴方案是____,肝俞、胆俞、脾俞、太冲、至阳、天枢、大横,肝俞、胆俞、至阳、膻中、中脘、期门、京门,胆俞、太冲、阴陵泉、阳陵泉、至阳、内关、公孙,胆俞、至阳、太冲、太白、期门、章门、中脘,肝俞、胆俞、胃俞、期门、太冲、太溪、三阴交,C
治疗带下量多，色黄稠黏，如脓如涕，气秽臭，阴中瘙痒，小腹作痛，小便短赤，口苦咽干，舌红，苔黄，脉滑数。治疗除主穴带脉、中极、白环俞、三阴交外，宜加取____,次髎、行间、阴陵泉,关元、肾俞,脾俞、足三里,血海、三阴交,中脘、天枢,A
李某，男，76岁。长期以来每于黎明前腹中作痛隐隐，肠鸣即泻，泻后痛减，喜____,关元、足三里,神阙、关元,支沟、下脘,天枢、下脘,肾俞、命门,E
治疗耳聋日久，伴头晕目眩，腰酸遗精，舌红少苔，脉细，除主穴外，宜配____,太冲、丘墟,肝俞、肾俞,风门、肺俞,丰隆、脾俞,足三里、三阴交,B
患者女，53岁。昨日暴怒后突发耳鸣，轰响如雷，头侧胀痛，口苦咽干，心烦，面赤，舌红苔黄，脉弦数。治疗除主穴外，宜加用____,肾俞、太溪,外关、合谷,太冲、丘墟,足三里、气海,脾俞、肾俞,C
刘某，男，72岁。咳喘反复发作20余年，现喘促气短，动则喘甚，汗出肢冷，舌淡，脉沉细。主要在哪些经脉上选穴治疗____,手太阴、足少阴、督脉,手太阴、足太阴、任脉,手太阴、足厥阴、督脉,手太阴、足少阴、背俞穴,手太阴、足太阴、足少阴,D
患者男，75岁。咳嗽反复发作半年，痰多色白，胸脘痞闷，苔白腻，脉濡滑。针刺治疗应当在主穴基础上加用____,阳陵泉、太溪,行间、鱼际,丰隆、阴陵泉,膻中、内关,膏肓、足三里,B
患者女，30岁。经血不止10天，下血量多，色深红，质黏稠，气味臭秽，口干喜饮，舌红苔黄，脉滑数。治疗取穴是____,关元、三阴交、行间、阴陵泉,关元、足三里、隐白、太冲,关元、三阴交、隐白、血海,关元、足三里、隐白、内庭,气海、三阴交、足三里、太溪,C
患儿男，5岁。其母代诉患儿产程不顺，平素体质较弱，近2年来经常出现突然昏仆，不省人事，面色苍白，两眼上视，四肢抽搐，口吐涎沫，每次持续不足1分钟，发作过后神志正常，但精神萎靡，纳差，嗜睡。发作期针刺应主选哪些穴位____,间使、阳陵泉、筋缩、鸠尾、太冲,水沟、百会、合谷、太冲、丰隆,间使、脾俞、胃俞、鸠尾、足三里,水沟、百会、后溪、涌泉、内关,鸠尾、心俞、脾俞、足三里、阴陵泉,D
患者男，52岁。突然眼前发黑，昏倒不省人事，伴牙关紧闭，面赤息粗，舌淡，苔白，脉沉弦。除主穴外还应配伍____,关元、气海,合谷、太冲,关元、百会,神门、足三里,膻中、关元,B
李某，女，32岁。正值产褥期，头痛、呕吐3周，伴发作性意识丧失、四肢抽搐，共发作4次，每次持续约4分钟缓解。近3天出现双下肢无力、二便障碍。诊断应考____,上矢状窦血栓形成,乙状窦血栓形成,直窦血栓形成,大脑深静脉血栓形成,蛛网膜下腔出血,A
患者牙龈红肿，牙痛剧烈，伴口臭，口渴，便秘，尿赤，舌红，苔黄，脉洪数。治疗除主穴合谷、颊车、下关外，宜配____,内庭、二间,外关、风池,太溪、行间,太冲、行间,行间、侠溪,A
乔某，女，26岁。左侧眼睑红肿痒痛1天，触之有硬结，压痛明显，伴头痛发热，舌尖红，苔薄黄，脉浮数。最佳取穴方案为____,攒竹、丝竹空、太阳、风池、曲差、大椎、合谷,攒竹、丝竹空、太阳、合谷、内庭、风池、外关,睛明、瞳子髎、球后、光明、丘墟、风池、风府,睛明、瞳子髎、太阳、合谷、内庭、阴陵泉、曲池,睛明、攒竹、瞳子髎、太溪、照海、四白、承泣,B
患者男，72岁。8年来下肢无力渐进性加重，麻木不仁，前胫微肿，兼见胸满痞闷，小便赤涩，舌红苔黄腻，脉濡数。下列说法中错误的是____,中医诊断为痿证————湿热浸淫,针刺腰夹脊后选2对加电针仪，用密波,可在下肢沿阳明经排刺,本病治疗以祛邪通络、濡养筋脉为法,根据患者情况，可在主穴基础上加用阴陵泉、大椎,B
王某，女，57岁，农民。精神狂躁8年余，多方求治不愈。今时而烦躁不安，时而多言善惊，烦扰不寐，形瘦面红，舌红苔少，脉细数。治疗除主穴外还应选用____,内庭、曲池,行间、三阴交,膻中、血海,太溪、三阴交,神门、心俞,B
张某，男，24岁。形体壮硕，肌肉结实，消谷善饥，大便干燥，舌质红，苔黄腻，脉滑数。针刺治疗应在常规取穴的基础上加____,三阴交、水分,肾俞、关元,膻中、内关,脾俞、足三里,上巨虚、内庭,E
患者女，53岁。右上齿痛半年，隐隐作痛，时作时止，午后或夜晚加重，日久不愈，伴头晕眼花，手足心热，腰膝酸软，舌红，苔少，脉细数。针灸治疗在合谷、颊车、下关的基础上，应加取____,外关、风池,内庭、二间,太溪、行间,风池、侠溪,风池、太冲,C
患者女，32岁，平素月经常错后，此次停经半年，尿妊娠（-）。兼见小腹冷痛，四末不温，喜温喜按，舌淡暗，苔薄白，脉沉迟。治疗除主穴外，还应加用____,丰隆、阴陵泉,血海、太冲,脾俞、  胃俞,命门、腰阳关,内关、膻中,D
刘某，女，37岁。2周来头痛反复发作，今天与邻居争吵时突发剧烈头痛、呕吐，迅速出现神志不清，由家属送往医院。查体：脑膜刺激征阳性；头颅CT扫描有出血表现，____,先天性动脉瘤,高血压动脉硬化,抗凝治疗,外伤,动静脉畸形,A
患者女，58岁。多食善饥，口渴尿多，形体消瘦，大便干燥，苔黄，脉滑有力。针灸治疗在主穴基础上应加用____,太渊、少府,地机、内庭,复溜、太冲,关元、命门,廉泉、承浆,B
夏某，女，60岁。近5年来饮食稍有不慎即易呕吐，吐出物不多，腐臭味不甚，平素倦怠乏力，面白无华，纳差便溏，舌谈，苔薄白，脉弱无力。以下说法中不正确的是____,治疗原则为和胃降逆，理气止呕,取穴主要以手厥阴、足阳明经穴及相应募穴为主,主穴基础上可配脾俞、胃俞，但不用灸法,基本针灸治疗处方是中脘、内关、足三里、胃俞,若肠鸣明显，可在主穴基础上加脾俞、大肠俞,C
治疗胸闷气短，心悸汗出，形寒肢厥，腰酸乏力，面色淡白，唇甲色淡，舌淡胖有齿痕，苔白润，脉沉细。治疗除主穴外，应配____,神阙、太冲,中脘、丰隆,心俞、至阳,气海、关元,膈俞、三阴交,D
患者发热，微恶风寒，汗出，鼻塞流黄涕，痰黄质稠，咽喉肿痛明显，口渴，苔黄，脉浮数。最佳针灸取穴处方是____,风门、肺俞、风池、大椎、太阳、列缺、合谷,大椎、风池、太阳、列缺、合谷、曲池、少商,身柱、大杼、风池、大椎、太阳、列缺、合谷,阴陵泉、委中、大椎、太阳、列缺、合谷、风池,天突、肺俞、中府、列缺、合谷、大椎、曲池,B
一患者不易入睡，睡而易醒，兼见心悸健忘，头晕目眩，纳差神疲，面色无华，____,心俞、脾俞,心俞、肾俞,心俞、胆俞,公孙、足三里,丰隆、内庭,A
患儿男，5岁。白天小便频而量少，夜晚睡中遗尿，劳累后加重，面白无华，少气懒言，食欲不振，大便稀溏，舌淡苔白，脉细无力。应选取的主穴为____,百会、神门、中极、膀胱俞,中极、阴陵泉、阳陵泉、行间,关元、中极、膀胱俞、三阴交,脾俞、肾俞、次髎、足三里,中极、关元、气海、血海,C
患者女，58岁。头昏神疲，四肢乏力，唇甲色淡，舌淡苔薄白，脉细弱。最佳针灸处方是____,百会、风池、中脘、丰隆、阴陵泉、太冲、内关,百会、风池、肾俞、肝俞、脾俞、气海、足三里,百会、风池、悬钟、太溪、足三里、肾俞、肝俞,百会、风池、曲池、合谷、太冲、三阴交、行间,百会、风池、曲池、肾俞、肝俞、合谷、太冲,B
患者发热恶寒，无汗，嗽咳喷嚏，痰白涕清，头痛，肢体酸楚，舌淡苔薄白，脉浮紧。最佳针灸取穴处方是____,太渊、少商、风池、大椎、太阳、列缺、合谷,风门、肺俞、太阳、列缺、合谷、风池、大椎,身柱、大杼、风池、大椎、太阳、列缺、合谷,阴陵泉、委中、大椎、太阳、列缺、合谷、风池,天突、肺俞、中府、列缺、合谷、大椎、曲池,B
颈部和腰部扭伤，除取主穴外，还应加用的穴位是____,夹脊穴,太阳经穴,督脉穴位,少阳经穴,任脉穴位,A
张某，男，60岁，既往高血压、糖尿病病史，与人争吵后突发头痛、呕吐，左侧肢体偏瘫，无感觉障碍，血压180/100mmHg.诊断首先考虑____,脑出血，右侧脑叶出血,脑出血，右侧壳核出血,脑出血，左侧颞叶沟回疝,蛛网膜下腔出血,脑出血，小脑扁桃体疝,B
患者女，48岁。眼红目涩3月余，眵多于结，昼轻夜重，五心烦热，夜寐难安，舌红少津，脉细数。除合谷、太冲、风池、睛明、太阳外，宜加取____,少商、上星,太溪、养老,侠溪、行间,外关、中渚,内庭、曲池,B
治疗肾绞痛伴血尿者，宜加用____,委阳、阴陵泉,命门、关元,地机、血海,内关、足三里,水分、水道,C
患儿男，5岁。白天小便频而量少，夜晚睡中遗尿，小便清长，素日神疲乏力，____,百会、神门、太溪,气海、血海、肾俞,阳陵泉、行间、太冲,脾俞、肾俞、足三里,肾俞、命门、太溪,E
张某，男，12岁。夏季饮冷后出现腹痛泄泻，便质清稀，水谷相混，肠鸣腹胀，得温痛减，口不渴，舌淡，苔白滑，脉迟。治疗在主要穴位的基础上加用____,梁门、中脘,支沟、下脘,内庭、曲池,天枢、下脘,神阙、关元,E
刘某，男，72岁。咳喘反复发作20余年，现喘促气短，动则喘甚，汗出肢冷，舌淡，脉沉细。最佳取穴方案是____,太渊、列缺、孔最、天突、三阴交、足三里,肺俞、风门、风池、风府、天突、列缺,鱼际、列缺、天突、风门、太渊、太溪,太渊、  列缺、  膏肓、  太溪、  肺俞、  肾俞,太渊、太溪、太冲、太白、中府、天突,D
张某，女，13岁。经期不规则，此次经血大下，量多如崩，血色深红，质黏稠，气腥味重，兼见口干喜饮，舌红苔黄，脉滑数。治疗除最佳取穴方案为____,关元、三阴交、隐白、公孙、血海、地机,关元、三阴交、血海、阴陵泉、合谷,关元、三阴交、肾俞、命门、腰阳关,关元、三阴交、地机、然谷、太溪、交信,关元、三阴交、阴陵泉、太冲、隐白,A
张某，男，78岁。小便滴沥不爽6年，排出无力，小腹坠胀，平素气短神疲，纳差懒言，大便不成形，舌淡，苔白，脉细弱。治疗在主穴的基础上配伍____,曲池、委阳,肺俞、尺泽,阴谷、太溪,气海、足三里,肝俞、太冲,D
患者女，39岁。昨日生气后出现上腹胃脘部胀满疼痛，脘痛连胁，嗳腐吞酸，心烦，口苦，喜长舒气，大便不畅，舌淡红，苔薄白，脉弦。针对患者具体证型的取穴是____,膻中、膈俞,胃俞、神阙,太冲、期门,下脘、梁门,胃俞、太溪、三阴交,C
王某，男，31岁，突然出现脊背部疼痛、胸腹部束带感及下肢麻木感，后迅速出现脊髓受损平面以下运动、感觉及大小便功能障碍。需要鉴别的疾病不包括____,脊髓血管病,视神经脊髓炎,亚急性坏死性脊髓炎,急性脊髓压迫症,重症肌无力,E
患者男，68岁，右上肢痿软无力10余年，平素神疲倦怠，纳呆便溏，面色少华，舌淡，苔薄白，脉细缓。关于其治疗的说法中错误的是____,主穴选取肩髑、曲池、手三里、外关、合谷、胸夹脊,针刺腰夹脊后选2对加电针仪，用密波,根据患者情况可配伍脾俞、胃俞、中脘,可用皮肤针反复叩刺患肢阳明经穴,治疗期间尽量配合主动及被动的肢体锻炼,B
患者女，25岁。产后泌乳量少质稀，乳房柔软无胀感，面色苍白，唇甲无华，神疲乏力，便溏，舌淡，苔薄白，脉虚细。除主穴乳根、膻中、少泽外，应加取____,太冲、内关,足三里、脾俞,肝俞、膈俞,中脘、天枢,期门、太冲,B
患者男，52岁，突发脑出血，头痛、呕吐、昏迷，血压200/120mmHg.应迅速采取的措施是____,止血,降血压,降颅压,维持生命体征,外科手术,D
患者女，20岁。经期下腹部疼痛剧烈，经行不畅，经色紫黑，有血块，经前伴乳房胀痛，舌有瘀斑，脉细弦。治疗除主穴外还应选取____,太冲、阳陵泉,列缺、归来,关元、气海,肝俞、肾俞,膏肓、志室,A
患者腹痛绵绵，时作时止，痛时喜温喜按，饥饿或劳累后加剧，得食或休息后痛减，神疲乏力，畏寒肢冷，舌淡苔白，脉沉细。最佳治法为____,温运脾阳、缓急止痛，以足阳明、足厥阴经及任脉穴为主,通调肠胃、行气导滞，以足阳明、足太阴及足太阳经穴为主,温经散寒、理气止痛，以足太阴、足阳明及任脉穴为主,活血化瘀、行气止痛，以足阳明、足厥阴经及任脉穴为主,清热导滞，行气止痛，以足厥阴、足阳明及足太阴经穴为主,A
张某，女，48岁，大便干结难解，腹胀善嗳，胸胁痞满，舌淡苔薄腻，脉弦。最佳取穴方案为____,天枢、神阙、脾俞、太白、足三里、上巨虚,天枢、气海、关元、上巨虚、脾俞、肾俞,天枢、水分、上巨虚、阴陵泉、下脘、梁门,天枢、大肠俞、支沟、上巨虚、中脘、太冲,天枢、中脘、归来、支沟、上巨虚、大肠俞,D
杨某，男，19岁。昨日与同学聚餐，今日出现大便日次数明显增多，腹痛肠鸣，大便恶臭，伴有未消化食物，泻后痛减，嗳腐吞酸，不思饮食，小便量少。治疗在主要穴位的基础上加用____,内庭、曲池,神阙、关元,支沟、下脘,天枢、下脘,梁门、下脘,E
下列各项关于痔疮的辨证配穴，错误的是____,湿热下注配阴陵泉、三阴交,肛周肿痛加次髎、承山,气虚下陷灸百会、神阙,便秘者加支沟、天枢,肛周肿痛加秩边、飞扬,B
针灸治疗风疹，选取的主要经脉是____,手足少阳经,手阳明、足太阴经,足阳明、手太阴经,手足太阴经,以上都不是,B
针灸治疗耳鸣耳聋配穴不正确的是____,肝胆火盛配太冲、丘墟,外感风邪配太关、合谷,气血不足配太白、血海,肾精亏虚配肾俞、太溪,脾胃虚弱配气海、足三里,C
治疗鼻渊之湿热阻窍者，宜配____,曲池、阳陵泉,曲池、阴陵泉,尺泽、少商,尺泽、鱼际,尺泽、曲泽,B
针灸治疗晕厥可点刺出血的穴位不包括____,四缝,百会,中冲,十二井,十宣,A
治疗虚脱应主选的经穴是____,任脉、督脉及手厥阴经穴,任脉、督脉及手少阴经穴,任脉、督脉及足厥阴经穴,手厥阴及足厥阴经穴,手太阴及手厥阴经穴,A
关于肥胖症的治疗，下列说法不正确的是____,不需配合锻炼,治疗法则为祛湿化痰，通经活络,主要选取手足阳明经、足太阴经穴,可用皮肤针叩刺局部阿是穴,耳针可选取胃、脾、肺、  内分泌、三焦,A
治疗戒毒综合征兼见肌肉抽搐者，可在基础方的基础上加____,太冲,肾俞,肝俞,阳陵泉,涌泉,D
治疗晕厥的主穴，不包括____,水沟,百会,中冲,内关,涌泉,D
治疗肾绞痛的主穴，除京门、肾俞外，还包括____,中极、膀胱俞、阴陵泉,中极、膀胱俞、三阴交,三焦俞、膀胱俞、阴陵泉,三焦俞、三阴交、阴陵泉,三焦俞、三阴交、阳陵泉,B
下列疾病是周期性瘫痪需要与之鉴别的是____,急性脊髓炎,运动神经元病,脊髓灰质炎,全身性重症肌无力,急性炎性脱髓鞘性神经根神经病,E
脊髓休克常见于____,小脑,脊髓,周围神经,大脑半球白质,脑干,B
下列哪些症状或体征不符合AIDP的表现____,自主神经功能障碍,肢体不对称性瘫痪,可出现腓肠肌压痛,脑神经麻痹,感觉障碍,B
下列关于阿尔茨海默病的论述中，错误的是____,是一种以认知功能障碍、日常生活能力下降以及精神行为异常为特征的神经系统退行性疾病,特征性病理改变为老年斑、神经元纤维缠结和选择性神经元与突触丢失,通常发生于老年或老年前期，隐匿起病，阶梯样缓慢进展,病程通常为4~12年，绝大多数AD患者为散发性AD，约5%有家族史,长期大剂量吡拉西坦、茴拉西坦或奥拉西坦能延缓AD进展,C
重症肌无力最常见受累的肌肉是____,呼吸肌,四肢肌,眼外肌,咽喉肌,咀嚼肌,C
MRI T2加权相对识别多发性硬化何种改变有帮助____,轴索损伤,急性炎症,颅内压增加,脱髓鞘,局灶性癫痫活动,D
小量脑桥出血可能的症状或体征，不包括____,可不出现意识障碍,病灶侧周围性面瘫,失语,病灶对侧面瘫,两眼向病灶侧凝视麻痹,C
在脑栓塞病因的心源性之中，最常见的是____,风湿性心脏病,病毒性心肌炎,心脏黏液瘤,心肌梗死,心房颤动,E
关于TIA的实验实检查，不正确的是____,脱髓鞘疾病,维生素B12缺乏病,脂类代谢病,螺旋体感染病,神经变性病,A
针灸治疗痛经实证应选取哪些经穴为主____,任脉、足少阴经穴,任脉、足厥阴经穴,任脉、足太阴经穴,冲脉、足厥阴经穴,督脉、足厥阴经穴,D
崩漏的发生主要与哪些经脉有关____,肝经、肾经,肝经、脾经,任脉、带脉,任脉、冲脉,任脉、督脉,D
针灸治疗胎位不正的主穴是____,足三里,三阴交,至阴,肝俞,肾俞,C
针灸治疗小儿遗尿，除相应背俞穴外，还应选取以下哪组经脉的腧穴____,任脉、足少阴,任脉、足少阳,任脉、足太阴,任脉、足太阳,足太阴、足太阳,A
带下病主要与哪些经脉相关____,任脉、督脉,任脉、冲脉,任脉、带脉,冲脉、带脉,冲脉、督脉,C
小儿脑性瘫痪的基本病机是____,肝肾亏虚,心神受损,痰瘀阻络,脑髓失充,气滞血瘀,D
瘾疹的治法是____,清热祛湿，解毒止痒,清热润燥，解毒化斑,养血祛风，活血化瘀,祛风止痒，养血润燥,疏风和营,E
治疗痄腮的配穴错误的是____,温毒在表配风池、少商,热毒蕴结配商阳、曲池、大椎,温毒内陷配劳宫、曲泉、大敦,睾丸肿痛配太冲、曲泉、蠡沟,神昏抽搐配百会、印堂、神阙,E
下列各项，不属于治疗乳痈选取的穴位是____,太溪,少泽,乳根,肩井,膻中,A
针灸治疗疔疮，选取的治疗原则是____,活血化瘀，消肿散结,调理冲任，软坚散结,清热解毒，消肿止痛,活血化瘀，消肿止痛,以上都不是,C
针灸治疗扭伤选取的腧穴属于____,阳明经,局部或邻近取穴,太阳经,少阳经,太阴经,B
针灸治疗耳鸣耳聋虚证，应以下列哪组腧穴为主____,合谷、外关、翳风、中渚,百会、听会、风池、中渚,耳门、听宫、太溪、照海,太溪、照海、完骨、翳风,太冲、太白、耳门、听会,C
针灸治疗牙痛选取的主穴是____,合谷、颊车、下关,颊车、大迎、下关,合谷、内关、颊车,曲池、合谷、大迎,曲池、风池、颊车,A
治疗咽喉肿痛之阴虚证，应以哪一经为主____,手太阴肺经,足厥阴肝经,足少阴肾经,手阳明大肠经,足阳明胃经,C
关于治疗晕厥的配穴及其刺灸法的说法，错误的是____,实证配合谷、太冲,虚证配关元、足三里,实证只针不灸,虚证可点刺出血,虚证针灸并用,D
以下有关针灸治疗胆道蛔虫症的叙述，不正确的是____,毫针泻法,迎香透四白为治疗本病的经验穴,鸠尾透日月可疏通局部气血,胆囊穴为治疗胆腑疾病的经验穴，也是治疗本病的主穴,耳针法宜取右侧耳穴,E
治疗高热的主穴，除十二井穴外，还包括____,大椎、曲池、合谷,大椎、合谷、太冲,曲泽、曲池、合谷,内关、神门、外关,内关、曲池、合谷,A
电针法治疗肥胖症，应选用的波型是____,疏密波,断续波,连续波,低频连续波,高频连续波,A
合并肺部感染的重症肌无力患者，针对其肺部感染应选用____,青霉素类,丁胺卡那,庆大霉素,四环素,磺胺类,A
下列关于坐骨神经损伤的说法中，正确的是____,胫神经损伤表现为足、足趾背屈不能，足下垂,腓总神经损伤后，足、足趾跖屈不能，足内收受限,腓总神经于大腿中1/3处由坐骨神经分出,胫神经损伤急性期不能用皮质类固醇,腓总神经绕行腓骨颈处最易受损,E
根据“虚则补其母”的理论，下列选项错误的是____,肺经虚证取太白,胃经虚证取厉兑,心经虚证取大敦,胆经虚证取侠溪,肾经虚证取复溜,B
针灸治疗晕厥，应选取的主穴是____,水沟、  百会、  中冲、  涌泉,水沟、  百会、  合谷、  太冲,水沟、百会、关元、足三里,合谷、太冲、气海、关元,中冲、  水沟、  百会、  太冲,A
四缝穴治疗小儿疳积，所属的选穴原则是____,近部取穴,辨证对症选穴,循经选穴,远部取穴,以上都不是,D
下列有关标本根结理论论述不正确的是____,“标本”、  “根结”反映了经气的上下对应关系,“标”与“结”意义相似,“根结”的范围较“标本”广,“四根三结”指十二经脉以四肢为“根”，以头、胸、腹三部为“结”,标本根结理论说明了经气循行的多样性和弥漫性,C
经络腧穴按诊的异常变化不包括____,压痛,硬结,色黑,肿胀,条索状物,C
治疗月经不调首选的腧穴是____,阴陵泉,地机,三阴交,大横,公孙,C
MS的病变部位不包括____,小脑,脊髓,周围神经,大脑半球白质,脑干,C
额旁3线的主治病症是____,腰腿足病、脱肛、小儿夜尿,冠心病、支气管哮喘、支气管炎,精神失常、肝胆疾患,肩、臂、手等病症,功能失调性子宫出血、阳痿、尿频,E
治疗低血压，应选择的耳穴是____,皮质下,耳尖,角窝上,肾上腺,神门,D
与脏腑有直接络属关系的经脉是____,十二经别,手足三阳经,手足三阴经,奇经八脉,正经,E
针灸治疗疔疮选取的主穴是____,颊车、合谷、外关,外关、  内庭、足临泣,曲池、  大椎、  曲泽,身柱、灵台、合谷、委中,期门、太冲、丰隆,D
针灸治疗牙痛选取的主穴是____,合谷、颊车、下关,颊车、大迎、下关,合谷、内关、颊车,曲池、合谷、大迎,曲池、风池、颊车,A
针灸治疗缺乳的主穴是____,少泽、乳根、膻中,乳根、太冲、足三里,乳根、内关、期门,膻中、少泽、太冲,肝俞、膻中、少泽,A
下列各项，用于灯火灸治疗痄腮的是____,耳尖,率谷,列缺,颊车,角孙,E
常用于戒毒、减肥的针法是____,耳针,皮内针,芒针,皮肤针,电针,B
下列各项中，被称为“一源三歧”的是____,任脉、督脉、阳维脉,任脉、督脉、阳维脉,任脉、带脉、冲脉,任脉、督脉、带脉,任脉、督脉、冲脉,E
有关电针的说法，下列有误的是____,处方配穴与针刺法相同，多选两侧肢体的穴位配对，以1~3对穴位为宜,通电时间一般在5~20分钟,一般情况下，应在感觉阈和痛阈之间调节适宜的刺激强度，以患者能耐受为宜,一般应避免电流回路通过心脏、延髓、脊髓,孕妇应慎用电针,A
足阳明胃经的主治特点是____,后头、肩胛病，神志病,侧头、胁肋病,前头、口、齿、咽喉、胃肠病,后头、背腰病，肠病,侧头、鼻、  口、齿病,C
横指同身寸法中，以患者何指何处横纹为标准，将四指的宽度作为3寸____,拇指第二节,食指中节,中指中节,无名指中节,小指中节,C
下列关于坐骨神经损伤的说法中，正确的是____,胫神经损伤表现为足、足趾背屈不能，足下垂,腓总神经损伤后，足、足趾跖屈不能，足内收受限,腓总神经于大腿中1/3处由坐骨神经分出,胫神经损伤急性期不能用皮质类固醇,腓总神经绕行腓骨颈处最易受损,E
常用于出血、扭挫伤的电针波形是____,密波,疏密波,疏波,断续波,可调波,B
关于透天凉下列说法错误的是____,进针时，医者轻用压手,随患者吸气将针刺入深层得气,随患者呼气将针刺入浅层得气,患者呼气时将针缓慢拔出，不按针孔或缓按针孔,临床适用于实热火邪、痰热内盛证,C
关于治疗晕厥的配穴及其刺灸法的说法，错误的是____,实证配合谷、太冲,虚证配关元、足三里,实证只针不灸,虚证可点刺出血,虚证针灸并用,D
绝经前后诸症之肝阳上亢者，除主穴外，还应加用的腧穴是____,关元、命门、太冲,太溪、照海、太冲,百会、太冲、风池,太冲、肾俞、脾俞,脾俞、肾俞、太冲,C
治疗落枕的经验穴是____,内劳宫,悬钟,外劳宫,后溪,以上都不是,C
足太阴经的“根”是____,至阴,厉兑,隐白,涌泉,大敦,C
三棱针的针刺方法不包括____,挑刺法,点刺法,散刺法,刺络法,透刺法,E
下列各项关于漏肩风的叙述，错误的是____,本病好发年龄为50岁左右,寒湿是导致该病的重要诱因,本病相当于西医学的肩周炎,漏肩风是以肩部疼痛，活动受限为主症,又称“肩凝症”、  “冻结肩”,A
